titre;sous_titre;description;cat;sous_cat;link;link_title;lieu;img;img_alt;date
Guitare acoustique modèle Excel Cutaway John d'Angelico;;;Cordes;;./0920372-guitare-de-jazz-john-d-angelico.aspx;Description de la guitare de jazz de John d'Angelico de 1957;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000006600/CMIM000027785_230x230.jpg;Photographie de Guitare acoustique modèle Excel Cutaway John d'Angelico;
Guitare de Robert Bouchet;;;Cordes;;./0157837-guitare-robert-bouchet.aspx;Description de la Guitare de Robert Bouchet de 1958;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000001800/CMIM000027117_230x230.jpg;Photographie de Guitare de Robert Bouchet;
Guitare électrique électrique modèle 6120 Chet Atkins Gretsch;;;Cordes;;./0156712-guitare-electrique-gretsch.aspx;Description de la Guitare électrique Gretsch de 1960;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000001300/CMIM000023382_230x230.jpg;Photographie de Guitare électrique électrique modèle 6120 Chet Atkins Gretsch;
Guitare électrique Super de Luxe Jacobacci Frères;;;Cordes;;./0156703-guitare-electrique-jacobacci.aspx;Description de la Guitare électrique Jacobacci de 1958;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000001200/CMIM000023376_230x230.jpg;Photographie de Guitare électrique Super de Luxe Jacobacci Frères;
Guitare basse électrique modèle 4001 Rickenbacker;;;Cordes;;./0160356-guitare-electrique-basse-rickenbacker.aspx;Description de la Guitare électrique basse Rickenbacker de 1977;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000004000/CMIM000018378_230x230.jpg;Photographie de Guitare basse électrique modèle 4001 Rickenbacker;
Guitare électrique modèle Flying V 2 Gibson;;;Cordes;;./0158238-guitare-electrique-flying-v-gibson.aspx;Description de la guitare électrique Flying V Gibsonde 1980;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000002500/CMIM000019344_230x230.jpg;Photographie de Guitare électrique modèle Flying V 2 Gibson;
Guitare électrique modèle Stratocaster Fender;;;Cordes;;./0156168-guitare-electrique-stratocaster-fender.aspx;La guitare électrique Stratocaster, Fender de 1954;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000009200/CMIM000019352_230x230.jpg;Photographie de Guitare électrique modèle Stratocaster Fender;
Guitare électrique modèle Telecaster Fender;;;Cordes;;./0160314-guitare-electrique-telecaster-fender.aspx;Description de la guitare électrique Telecaster de Fender de 1953;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000003900/CMIM000019332_230x230.jpg;Photographie de Guitare électrique modèle Telecaster Fender;
harpe à simple mouvement Erard;;;Cordes;;./0160815-harpe-a-simple-mouvement-erard.aspx;Description de la harpe à simple mouvement Erard de 1799;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000004300/CMIM00027445_230x230.jpg;Photographie de harpe à simple mouvement Erard;
Harpe chromatique Pleyel;;;Cordes;;./0160898-harpe-chromatique-pleyel.aspx;Description de la harpe chromatique Pleyel de 1900;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000004500/CMIM00028034_230x230.jpg;Photographie de Harpe chromatique Pleyel;
Harpe-luth kasso (Kora);;;Cordes;;./0795316-harpe-luth-kasso-kora.aspx;La harpe-luth kasso (Kora)® Jean-Marc Anglès - XIXe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000008900/CMIM000027607_230x230.jpg;Photographie de Harpe-luth kasso (Kora);
Harpe Kundi;;;Cordes;;./0158801-harpe-kundi.aspx;La harpe Kundi - Début XXe;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000009000/CMIM000018287_230x230.jpg;Photographie de Harpe Kundi;
Harpe Ngomgi;;;Cordes;;./0158188-harpe-ngomgi.aspx;Description de la Harpe Ngomgi - Début XXe Siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000007700/CMIM000023085_230x230.jpg;Photographie de Harpe Ngomgi;
Harpe Saung-Gaunk;;;Cordes;;./0161130-harpe-saung-gaunk.aspx;La harpe Saung-Gaunk - Début XXe Siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000009100/CMIM000023217_230x230.jpg;Photographie de Harpe Saung-Gaunk;
Luth Biwa;;;Cordes;;./0158220-luth-biwa.aspx;Description du luth Biwa - XIXe Siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000007600/CMIM000027620_230x230.jpg;Photographie de Luth Biwa;
Charango;;;Cordes;;./0156700-luth-charango.aspx;Description du Charango de 1981;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000001100/CMIM000027467_230x230.jpg;Photographie de Charango;
Luth de Johann Christiann Hoffmann;;;Cordes;;./0161785-luth-johann-christian-hoffmann.aspx;Description du luth de Johann Christiann Hoffmann de 1720;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000005400/CMIM000019662_230x230.jpg;Photographie de Luth de Johann Christiann Hoffmann;
Luth Târ;;;Cordes;;./0158900-luth-tar.aspx;Description du luth Târ - vers 1950;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000003200/CMIM000018434_230x230.jpg;Photographie de Luth Târ;
Luth 'UD;;;Cordes;;./0158896-luth-ud.aspx;Description du luth 'ud - 1931;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000003100/CMIM00027471_230x230.jpg;Photographie de Luth 'UD;
Luth de Jacob Hes;;;Cordes;;./0130495-luth-jocob-hes.aspx;Description du luth de Jocob Hes de 1586;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000000500/CMFM000000500_230x230.jpg;Photographie de Luth de Jacob Hes;
Luth Sanxian;;;Cordes;;./0161238-luth-sanxian.aspx;Description du luth Sanxian - XIXe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000007200/CMIM000027611_230x230.jpg;Photographie de Luth Sanxian;
Luth Sarod;;;Cordes;;./0158479-luth-sarod.aspx;Description du luth Sarod - 1875;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000009900/158479_CMIM000020000_230x230.jpg;Photographie de Luth Sarod;
Luth Sitar;;;Cordes;;./0158481-luth-sitar-kanailal-and-brother.aspx;Description du luth Sitar - vers 1930;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000007500/CMIM000018980_230x230.jpg;Photographie de Luth Sitar;
